Table Legend
------------
x-axis:  number of primes (base 2 log)
y-axis:  number of curve points (base 2 log)
entries: largest factor bitwidth that ECM can find with probability at least 50%

   | 1  2  3  4  5  6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40
19 | 2 29 31 37 47 48  56  65  73  81  89  97 105 112 120 128 135 143 150 158 165 173 180 188 195 202 210 217 224 232 239 246 254 261 268 275 283 290 297 304
20 | 2 30 33 39 48 49  58  67  75  84  92 100 108 116 124 132 140 148 155 163 171 179 186 194 202 209 217 224 232 240 247 255 262 270 277 285 292 300 307 315
21 | 2 31 34 40 50 51  60  69  78  87  95 103 112 120 128 136 144 152 161 169 176 184 192 200 208 216 224 232 239 247 255 263 271 278 286 294 302 309 317 325
22 | 2 32 35 41 52 52  62  71  80  89  98 107 115 124 132 141 149 157 166 174 182 190 198 206 215 223 231 239 247 255 263 271 279 287 295 303 311 319 327 335
23 | 2 33 37 43 53 54  64  73  83  92 101 110 119 127 136 145 153 162 170 179 187 196 204 213 221 229 238 246 254 263 271 279 287 296 304 312 320 328 337 345
24 | 2 34 38 44 55 56  66  76  85  95 104 113 122 131 140 149 158 167 175 184 193 201 210 219 227 236 244 253 262 270 279 287 296 304 313 321 329 338 346 355
25 | 2 36 39 45 56 57  68  78  88  97 107 116 126 135 144 153 162 171 180 189 198 207 216 225 234 242 251 260 269 278 286 295 304 312 321 330 338 347 356 364
26 | 2 37 40 46 58 59  69  80  90 100 110 119 129 138 148 157 167 176 185 194 203 213 222 231 240 249 258 267 276 285 294 303 312 321 330 339 347 356 365 374
27 | 2 38 42 47 59 60  71  82  92 102 112 122 132 142 152 161 171 180 190 199 209 218 227 237 246 255 265 274 283 292 301 311 320 329 338 347 356 366 375 384
28 | 2 39 43 49 61 62  73  84  95 105 115 125 136 146 155 165 175 185 195 204 214 224 233 243 252 262 271 281 290 300 309 318 328 337 347 356 365 375 384 393
29 | 2 40 44 50 62 63  75  86  97 108 118 129 139 149 159 169 179 189 199 209 219 229 239 249 258 268 278 287 297 307 316 326 336 345 355 365 374 384 393 403
30 | 2 41 46 51 64 65  77  88  99 110 121 132 142 153 163 173 184 194 204 214 224 234 244 254 264 274 284 294 304 314 324 334 344 353 363 373 383 393 402 412
31 | 2 42 47 52 65 66  78  90 102 113 124 135 145 156 167 177 188 198 209 219 229 240 250 260 270 281 291 301 311 321 331 341 351 361 371 382 392 402 412 422
32 | 2 43 48 53 67 68  80  92 104 115 126 138 149 160 170 181 192 203 213 224 234 245 255 266 276 287 297 307 318 328 338 349 359 369 380 390 400 410 421 431
33 | 2 45 49 55 68 69  82  94 106 118 129 141 152 163 174 185 196 207 218 229 239 250 261 272 282 293 303 314 325 335 346 356 367 377 388 398 409 419 430 440
34 | 2 46 50 56 70 71  84  96 108 120 132 143 155 166 178 189 200 211 222 233 244 255 266 277 288 299 310 321 331 342 353 364 374 385 396 407 417 428 439 449
35 | 2 47 52 57 71 72  85  98 110 123 135 146 158 170 181 193 204 216 227 238 249 261 272 283 294 305 316 327 338 349 360 371 382 393 404 415 426 437 447 458
36 | 2 48 53 58 73 74  87 100 113 125 137 149 161 173 185 197 208 220 231 243 254 266 277 288 300 311 322 334 345 356 367 378 390 401 412 423 434 445 456 467
37 | 2 49 54 59 74 75  89 102 115 127 140 152 164 176 188 200 212 224 236 248 259 271 282 294 306 317 329 340 351 363 374 386 397 408 420 431 442 454 465 476
38 | 2 50 55 60 76 77  91 104 117 130 143 155 168 180 192 204 216 228 240 252 264 276 288 300 311 323 335 346 358 370 381 393 405 416 428 439 451 462 474 485
39 | 2 51 56 61 77 78  92 106 119 132 145 158 171 183 196 208 220 233 245 257 269 281 293 305 317 329 341 353 365 377 388 400 412 424 436 447 459 471 483 494
40 | 2 52 58 63 78 80  94 108 121 135 148 161 174 186 199 212 224 237 249 261 274 286 298 311 323 335 347 359 371 383 395 407 419 431 443 455 467 479 491 503
41 | 2 53 59 64 80 81  96 110 124 137 150 164 177 190 203 215 228 241 253 266 279 291 304 316 328 341 353 365 378 390 402 414 427 439 451 463 475 488 500 512
42 | 2 54 60 65 81 82  97 112 126 139 153 167 180 193 206 219 232 245 258 271 283 296 309 321 334 347 359 372 384 397 409 422 434 446 459 471 484 496 508 521
43 | 2 55 61 66 83 84  99 114 128 142 156 169 183 196 210 223 236 249 262 275 288 301 314 327 340 352 365 378 391 403 416 429 441 454 467 479 492 504 517 529
44 | 2 57 62 67 84 85 101 115 130 144 158 172 186 199 213 227 240 253 266 280 293 306 319 332 345 358 371 384 397 410 423 436 449 461 474 487 500 513 525 538
45 | 2 58 63 68 85 87 102 117 132 147 161 175 189 203 216 230 244 257 271 284 298 311 324 338 351 364 377 390 403 417 430 443 456 469 482 495 508 521 534 547
